store_id,platform,platform_code,platform_store_key,shop_name,license_name,unified_credit_code,customer_code,responsible_unit,responsible_person,contact,province,city,shop_status,upstream_commercial_code,upstream_commercial_name,involved_products,notes,fixed_tier
W00013,美团,meituan,美团爱体德大药房旗舰店,爱体德大药房旗舰店,安徽爱体德大药房连锁有限公司,91340122MA2MQ7L212,802405184,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00014,天猫,taobao,天猫爱体德大药房旗舰店,爱体德大药房旗舰店,安徽爱体德大药房连锁有限公司,91340122MA2MQ7L212,802405184,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00015,美团,meituan,美团白大夫大药房旗舰店,白大夫大药房旗舰店,安徽白大夫大药房连锁有限公司,913401006820548655,802405068,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00016,天猫,taobao,天猫白大夫大药房旗舰店,白大夫大药房旗舰店,安徽白大夫大药房连锁有限公司,913401006820548655,802405068,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00017,天猫,taobao,天猫百年传徽医药专营店,百年传徽医药专营店,安徽百年传徽医药科技有限公司,91340111MA8PN64CXX,,商业一大区,张智一,,安徽,合肥,正常,20000024,华润立方药业（安徽）,葛泰、倍利舒,,responsibility_core
W00018,药师帮,yaoshibang,药师帮药华烁,药华烁,安徽佰辰医药有限公司,91341600MA2T1WY658,FX0002742,商业一大区,张智一,张自通,安徽,亳州,关闭,,,,,observation_only
W00019,药师帮,yaoshibang,药师帮扶正药局,扶正药局,安徽宝富医药销售有限公司,91340500MA2WCGN80F,,商业一大区,张智一,,安徽,马鞍山,正常,,,,,observation_only
W00020,美团,meituan,美团伯远宁大药房旗舰店,伯远宁大药房旗舰店,安徽伯远宁医药有限公司,913401003942664845,802405073,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00021,天猫,taobao,天猫福润堂大药房旗舰店,福润堂大药房旗舰店,安徽伯远宁医药有限公司,913401003942664845,802405073,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00022,药师帮,yaoshibang,药师帮乐药采,乐药采,安徽昌鹤医药有限公司,91340111MA2PU43M7G,20000139,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00023,京东,jd,京东德胜大药房官方旗舰店,德胜大药房官方旗舰店,安徽德胜大药房连锁有限公司,913401003551953887,802405179,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00024,天猫,taobao,天猫德胜大药房旗舰店,德胜大药房旗舰店,安徽德胜大药房连锁有限公司,913401003551953887,802405179,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00025,京东,jd,京东佳药一新大药房官方旗舰店,佳药一新大药房官方旗舰店,安徽德兴堂大药房有限公司,91340100MA2PH6TR8D,FX0003011,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00026,天猫,taobao,天猫佳药一新大药房旗舰店,佳药一新大药房旗舰店,安徽德兴堂大药房有限公司,91340100MA2PH6TR8D,FX0003011,商业一大区,张智一,张涛,安徽,合肥,正常,,,,,observation_only
W00027,京东,jd,京东叮当极致大药房旗舰店-释放,叮当极致大药房旗舰店-释放,安徽叮当极致大药房连锁有限公司,91340111MA8N3LL93L,,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00028,京东,jd,京东丰原大药房旗舰店,丰原大药房旗舰店,安徽丰原大药房连锁有限公司,91340300728505378Y,802000201,KA三大区,孙英昌,,安徽,蚌埠,正常,,,,,observation_only
W00029,京东,jd,京东丰原健康大药房旗舰店,丰原健康大药房旗舰店,安徽丰原大药房连锁有限公司,91340300728505378Y,802000201,KA三大区,孙英昌,,安徽,蚌埠,正常,,,,,observation_only
W00030,京东,jd,京东丰原药业大药房旗舰店,丰原药业大药房旗舰店,安徽丰原大药房连锁有限公司,91340300728505378Y,802000201,KA三大区,孙英昌,,安徽,蚌埠,正常,,,,,observation_only
W00031,美团,meituan,美团安徽丰原大药房旗舰店,安徽丰原大药房旗舰店,安徽丰原大药房连锁有限公司,91340300728505378Y,802000201,KA三大区,孙英昌,,安徽,蚌埠,正常,,,,,observation_only
W00032,拼多多,pinduoduo,拼多多丰原大药房旗舰店,丰原大药房旗舰店,安徽丰原大药房连锁有限公司,91340300728505378Y,802000201,KA三大区,孙英昌,,安徽,蚌埠,正常,,,,,observation_only
W00033,拼多多,pinduoduo,拼多多丰原药业大药房官方旗舰店,丰原药业大药房官方旗舰店,安徽丰原大药房连锁有限公司,91340300728505378Y,802000201,KA三大区,孙英昌,王晓伶,安徽,蚌埠,正常,,,,,observation_only
W00034,拼多多,pinduoduo,拼多多丰原药业大药房旗舰店,丰原药业大药房旗舰店,安徽丰原大药房连锁有限公司,91340300728505378Y,802000201,KA三大区,孙英昌,,安徽,蚌埠,正常,,,,,observation_only
W00035,拼多多,pinduoduo,拼多多友护大药房旗舰店,友护大药房旗舰店,安徽丰原大药房连锁有限公司,91340300728505378Y,802000201,KA三大区,孙英昌,王晓伶,安徽,蚌埠,正常,,,,,observation_only
W00036,天猫,taobao,天猫丰原大药房旗舰店,丰原大药房旗舰店,安徽丰原大药房连锁有限公司,91340300728505378Y,802000201,KA三大区,孙英昌,,安徽,蚌埠,正常,,,,,observation_only
W00037,天猫,taobao,天猫福康元医药专营店,福康元医药专营店,安徽福康元大药房有限公司,91341222MAD0MNED9Q,,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00038,天猫,taobao,天猫阜胜堂医药专营店,阜胜堂医药专营店,安徽阜胜堂大药房有限公司,91341226MADBREFW3N,,商业一大区,张智一,,安徽,阜阳,正常,20000123,安徽延生药业,托妥,,responsibility_core
W00039,药师帮,yaoshibang,药师帮医缘购,医缘购,安徽高铭医药有限公司,91340102MADGFT364T,,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00040,拼多多,pinduoduo,拼多多安徽广济大药房旗舰店,安徽广济大药房旗舰店,安徽广济大药房连锁有限公司,913401007529930685,802405032,KA三大区,孙英昌,,安徽,合肥,关闭,,,,,observation_only
W00041,京东,jd,京东福源仟泽大药房旗舰店,福源仟泽大药房旗舰店,安徽归朴健康大药房连锁有限公司,91341222MA8PBBDM7L,FX0002605,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00042,美团,meituan,美团福源仟泽大药房旗舰店,福源仟泽大药房旗舰店,安徽归朴健康大药房连锁有限公司,91341222MA8PBBDM7L,FX0002605,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00043,天猫,taobao,天猫福源仟泽大药房旗舰店,福源仟泽大药房旗舰店,安徽归朴健康大药房连锁有限公司,91341222MA8PBBDM7L,FX0002605,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00044,京东,jd,京东国春堂大药房旗舰店,国春堂大药房旗舰店,安徽国春堂大药房连锁有限公司,91341622580119533W,802405037,KA三大区,孙英昌,,安徽,阜阳,正常,,,,,observation_only
W00045,美团,meituan,美团国春堂大药房旗舰店,国春堂大药房旗舰店,安徽国春堂大药房连锁有限公司,91341622580119533W,802405037,KA三大区,孙英昌,,安徽,亳州,正常,,,,,observation_only
W00046,拼多多,pinduoduo,拼多多国春堂大药房官方旗舰店,国春堂大药房官方旗舰店,安徽国春堂大药房连锁有限公司,91341622580119533W,802405037,KA三大区,孙英昌,祝金萍,安徽,亳州,正常,,,,,observation_only
W00047,拼多多,pinduoduo,拼多多国春堂大药房旗舰店,国春堂大药房旗舰店,安徽国春堂大药房连锁有限公司,91341622580119533W,802405037,KA三大区,孙英昌,,安徽,亳州,正常,,,,,observation_only
W00048,拼多多,pinduoduo,拼多多国惠大药房旗舰店,国惠大药房旗舰店,安徽国惠大药房连锁有限公司,913402075970886573,802405255,KA三大区,孙英昌,,安徽,芜湖,正常,,,,,observation_only
W00049,药师帮,yaoshibang,药师帮健康达,健康达,安徽国立医药集团有限公司,91340100723342338M,,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00050,京东,jd,京东国胜大药房旗舰店,国胜大药房旗舰店,安徽国胜大药房连锁有限公司,91340100560672921Y,802012002,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00051,美团,meituan,美团安徽国胜大药房旗舰店,安徽国胜大药房旗舰店,安徽国胜大药房连锁有限公司,91340100560672921Y,802012002,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00052,拼多多,pinduoduo,拼多多国胜大药房旗舰店,国胜大药房旗舰店,安徽国胜大药房连锁有限公司,91340100560672921Y,802012002,KA三大区,孙英昌,朱莉,安徽,合肥,正常,,,,,observation_only
W00053,拼多多,pinduoduo,拼多多国胜药业大药房旗舰店,国胜药业大药房旗舰店,安徽国胜大药房连锁有限公司,91340100560672921Y,802012002,KA三大区,孙英昌,朱莉,安徽,合肥,正常,,,,,observation_only
W00054,天猫,taobao,天猫国胜大药房旗舰店,国胜大药房旗舰店,安徽国胜大药房连锁有限公司,91340100560672921Y,802012002,KA三大区,孙英昌,朱莉,安徽,合肥,正常,,,,,observation_only
W00055,药师帮,yaoshibang,药师帮顺安购,顺安购,安徽国顺药业有限公司,91341200564997651N,20000046,商业一大区,张智一,,安徽,阜阳,关闭,,,,,observation_only
W00056,药师帮,yaoshibang,药师帮万药仓,万药仓,安徽国顺药业有限公司,91341200564997651N,20000046,商业一大区,张智一,,安徽,阜阳,关闭,,,,,observation_only
W00057,拼多多,pinduoduo,拼多多好心人大药房官方旗舰店,好心人大药房官方旗舰店,安徽好心人药房零售连锁有限公司,913412000787465233,802405265,KA三大区,孙英昌,,安徽,阜阳,正常,,,,,observation_only
W00058,天猫,taobao,天猫邦灿好心人大药房旗舰店,邦灿好心人大药房旗舰店,安徽好心人药房零售连锁有限公司,913412000787465233,802405265,KA三大区,孙英昌,,安徽,阜阳,正常,,,,,observation_only
W00059,拼多多,pinduoduo,拼多多好药师芙蓉路医药健康大药房旗舰店,好药师芙蓉路医药健康大药房旗舰店,安徽好药师大药房连锁有限公司,91340111MADEDN1G49,,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00060,京东,jd,京东昊霖医药大药房旗舰店,昊霖医药大药房旗舰店,安徽昊霖大药房连锁有限公司,91341282077203623R,802405136,KA三大区,孙英昌,,安徽,阜阳,正常,,,,,observation_only
W00061,京东,jd,京东昊霖医药专营店,昊霖医药专营店,安徽昊霖大药房连锁有限公司,91341282077203623R,802405136,KA三大区,孙英昌,,安徽,阜阳,正常,,,,,observation_only
W00062,拼多多,pinduoduo,拼多多昊霖大药房旗舰店,昊霖大药房旗舰店,安徽昊霖大药房连锁有限公司,91341282077203623R,802405136,KA三大区,孙英昌,,安徽,阜阳,正常,,,,,observation_only
W00063,天猫,taobao,天猫昊霖大药房旗舰店,昊霖大药房旗舰店,安徽昊霖大药房连锁有限公司,91341282077203623R,802405136,KA三大区,孙英昌,,安徽,阜阳,正常,,,,,observation_only
W00064,天猫,taobao,天猫和润大药房旗舰店,和润大药房旗舰店,安徽和润大药房零售连锁有限公司,91341222083688401Y,802405137,KA三大区,孙英昌,,安徽,阜阳,正常,,,,,observation_only
W00065,京东,jd,京东华康大药房旗舰店,华康大药房旗舰店,安徽华康大药房连锁有限公司,91341300799811751H,802404001,KA三大区,孙英昌,,安徽,宿州,正常,,,,,observation_only
W00066,拼多多,pinduoduo,拼多多华康盛大药房旗舰店,华康盛大药房旗舰店,安徽华康大药房连锁有限公司,91341300799811751H,802404001,KA三大区,孙英昌,,安徽,宿州,正常,,,,,observation_only
W00067,拼多多,pinduoduo,拼多多华康聿欣大药房旗舰店,华康聿欣大药房旗舰店,安徽华康大药房连锁有限公司,91341300799811751H,802404001,KA三大区,孙英昌,,安徽,宿州,正常,,,,,observation_only
W00068,天猫,taobao,天猫华康大药房旗舰店,华康大药房旗舰店,安徽华康大药房连锁有限公司,91341300799811751H,802404001,KA三大区,孙英昌,,安徽,宿州,正常,,,,,observation_only
W00069,京东,jd,京东华源大药房旗舰店,华源大药房旗舰店,安徽华源大药房连锁有限公司,91341222087574401G,802405224,KA三大区,孙英昌,,安徽,阜阳,正常,,,,,observation_only
W00070,美团,meituan,美团华源大药房旗舰店,华源大药房旗舰店,安徽华源大药房连锁有限公司,91341222087574401G,802405224,KA三大区,孙英昌,,安徽,阜阳,正常,,,,,observation_only
W00071,拼多多,pinduoduo,拼多多华源大药房旗舰店,华源大药房旗舰店,安徽华源大药房连锁有限公司,91341222087574401G,802405224,KA三大区,孙英昌,,安徽,阜阳,正常,,,,,observation_only
W00072,天猫,taobao,天猫华源大药房旗舰店,华源大药房旗舰店,安徽华源大药房连锁有限公司,91341222087574401G,802405224,KA三大区,孙英昌,,安徽,阜阳,关闭,,,,,observation_only
W00073,美团,meituan,美团千红兴大药房旗舰店,千红兴大药房旗舰店,安徽华源大药房连锁有限公司寿州店,91340422MA2T55NW6J,802405224,KA三大区,孙英昌,,安徽,淮南,正常,,,,,observation_only
W00074,药师帮,yaoshibang,药师帮快奇笑,快奇笑,安徽华源大众医药有限公司,91341500085236142M,20000141,商业一大区,张智一,,安徽,淮南,正常,,,,,observation_only
W00075,药师帮,yaoshibang,药师帮淘药缘旗舰店,淘药缘旗舰店,安徽华源聚源医药有限公司,91340100756829126U,20000141,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00076,药师帮,yaoshibang,药师帮新佰伴,新佰伴,安徽华源盛铭药业有限公司,913401007608030848,20000141,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00077,药师帮,yaoshibang,药师帮全又佳,全又佳,安徽华源医药集团股份有限公司,91341200713902565T,20000025,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00078,药师帮,yaoshibang,药师帮药真惠,药真惠,安徽华源医药集团股份有限公司,91341200713902565T,20000025,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00079,药师帮,yaoshibang,药师帮全药达,全药达,安徽华源医药集团股份有限公司西药分公司,9134122209077050XU,FX0000749,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00080,药师帮,yaoshibang,药师帮搜药购,搜药购,安徽华源医药集团股份有限公司西药分公司,9134122209077050XU,FX0000749,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00081,药师帮,yaoshibang,药师帮药速达,药速达,安徽华源医药集团股份有限公司新特药分公司,9134122268084947XU,FX0000456,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00082,药师帮,yaoshibang,药师帮温馨购,温馨购,安徽华源医药集团股份有限公司药材分公司,91341222791869289N,FX0000453,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00083,药师帮,yaoshibang,药师帮吉祥树旗舰店,吉祥树旗舰店,安徽华源医药集团股份有限公司药品经营分公司,91341222066515971J,FX0000460,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00084,药师帮,yaoshibang,药师帮轶风堂旗舰店,轶风堂旗舰店,安徽华源医药集团股份有限公司药品经营分公司,91341222066515971J,FX0000460,商业一大区,张智一,,安徽,阜阳,关闭,,,,,observation_only
W00085,药师帮,yaoshibang,药师帮药品购,药品购,安徽华源医药集团股份有限公司医药工业销售分公司,91341222564998814A,FX0000748,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00086,美团,meituan,美团济卫大药房旗舰店,济卫大药房旗舰店,安徽济卫大药房医药连锁有限公司,9134172106807679XG,FX0001346,商业一大区,张智一,,安徽,池州,正常,,,,,observation_only
W00087,药师帮,yaoshibang,药师帮药惠康,药惠康,安徽健康源医药有限公司,91340111MA2N1EJL84,FX0000297,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00088,京东,jd,京东金玛神大药店旗舰店,金玛神大药店旗舰店,安徽金玛神大药房有限公司,91341200322771879H,,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00089,京东,jd,京东京皖大药房旗舰店,京皖大药房旗舰店,安徽京皖药店连锁有限责任公司,91341600MA2UA5TM0K,,商业一大区,张智一,,安徽,亳州,正常,,,,,observation_only
W00090,拼多多,pinduoduo,拼多多京皖大药房旗舰店,京皖大药房旗舰店,安徽京皖药店连锁有限责任公司,91341600MA2UA5TM0K,,商业一大区,张智一,,安徽,亳州,正常,,,,,observation_only
W00091,天猫,taobao,天猫京皖大药房旗舰店,京皖大药房旗舰店,安徽京皖药店连锁有限责任公司,91341600MA2UA5TM0K,,商业一大区,张智一,,安徽,亳州,正常,,,,,observation_only
W00092,京东,jd,京东生和大药房旗舰店,生和大药房旗舰店,安徽九州通生和大药房连锁有限公司,91341226MA2N972C0W,802405260,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00093,天猫,taobao,天猫生和大药房旗舰店,生和大药房旗舰店,安徽九州通生和大药房连锁有限公司,91341226MA2N972C0W,802405260,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00094,药师帮,yaoshibang,药师帮聚善堂,聚善堂,安徽聚善堂医药有限公司,91340421MA8NNWGJ20,FX0002536,商业一大区,张智一,,安徽,阜阳,关闭,,,,,observation_only
W00095,京东,jd,京东康健百年（安徽）大药房旗舰店,康健百年（安徽）大药房旗舰店,安徽康健百年医药连锁有限公司,913416000665021698,,商业一大区,张智一,,安徽,亳州,正常,,,,,observation_only
W00096,美团,meituan,美团康健百年大药房旗舰店,康健百年大药房旗舰店,安徽康健百年医药连锁有限公司,913416000665021698,,商业一大区,张智一,,安徽,亳州,正常,,,,,observation_only
W00097,拼多多,pinduoduo,拼多多康健百年大药房旗舰店,康健百年大药房旗舰店,安徽康健百年医药连锁有限公司,913416000665021698,,商业一大区,张智一,,安徽,亳州,正常,,,,,observation_only
W00098,京东,jd,京东康之源大药房旗舰店,康之源大药房旗舰店,安徽康之源大药房连锁有限责任公司,91340100562194230J,,商业一大区,张智一,,安徽,合肥,正常,20000122,亳州九州通医药,托妥,,responsibility_core
W00099,美团,meituan,美团安徽康之源大药房旗舰店,安徽康之源大药房旗舰店,安徽康之源大药房连锁有限责任公司,91340100562194230J,,商业一大区,张智一,,安徽,合肥,正常,20000122,亳州九州通医药,托妥,,responsibility_core
W00100,拼多多,pinduoduo,拼多多药济森大药房旗舰店,药济森大药房旗舰店,安徽康之源大药房连锁有限责任公司,91340100562194230J,,商业一大区,张智一,,安徽,合肥,正常,20000122,亳州九州通医药,托妥,,responsibility_core
W00101,天猫,taobao,天猫药济森大药房旗舰店,药济森大药房旗舰店,安徽康之源大药房连锁有限责任公司,91340100562194230J,,商业一大区,张智一,,安徽,合肥,正常,20000122,亳州九州通医药,托妥,,responsibility_core
W00102,药师帮,yaoshibang,药师帮药宝宝,药宝宝,安徽乐药医药有限公司,91340100769038155C,20000125/FX0000275,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00103,药师帮,yaoshibang,药师帮药宝宝旗舰店,药宝宝旗舰店,安徽乐药医药有限公司,91340100769038155C,20000125,商业一大区,张智一,,安徽,合肥,关闭,,,,,observation_only
W00104,京东,jd,京东立方大药房官方旗舰店,立方大药房官方旗舰店,安徽立方连锁药房有限公司,91340100697362270N,802012004,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00105,拼多多,pinduoduo,拼多多立方大药房官方旗舰店,立方大药房官方旗舰店,安徽立方连锁药房有限公司,91340100697362270N,802012004,KA三大区,孙英昌,姚帅,安徽,合肥,正常,,,,,observation_only
W00106,拼多多,pinduoduo,拼多多立方大药房旗舰店,立方大药房旗舰店,安徽立方连锁药房有限公司,91340100697362270N,802012004,KA三大区,孙英昌,姚帅,安徽,合肥,正常,,,,,observation_only
W00107,天猫,taobao,天猫立方大药房旗舰店,立方大药房旗舰店,安徽立方连锁药房有限公司,91340100697362270N,802012004,KA三大区,孙英昌,姚帅,安徽,合肥,正常,,,,,observation_only
W00108,美团,meituan,美团立方大药房旗舰店,立方大药房旗舰店,安徽立方药房连锁有限公司,91340100697362270N,802012004,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00109,药师帮,yaoshibang,药师帮乐药云,乐药云,安徽丽高医药有限公司,91341500MAD0NYQ20F,,商业一大区,张智一,,安徽,六安,关闭,,,,,observation_only
W00110,京东,jd,京东邻医快药大药房旗舰店,邻医快药大药房旗舰店,安徽邻医快药大药房有限公司,91340111MA8NAPWT6Q,,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00111,美团,meituan,美团邻医快药大药房旗舰店,邻医快药大药房旗舰店,安徽邻医快药大药房有限公司,91340111MA8NAPWT6Q,FX0001231,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00112,拼多多,pinduoduo,拼多多好又购大药房旗舰店,好又购大药房旗舰店,安徽邻医快药大药房有限公司,91340111MA8NAPWT6Q,,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00113,拼多多,pinduoduo,拼多多邻医快大药房旗舰店,邻医快大药房旗舰店,安徽邻医快药大药房有限公司,91340111MA8NAPWT6Q,,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00114,拼多多,pinduoduo,拼多多邻医快药大药房旗舰店,邻医快药大药房旗舰店,安徽邻医快药大药房有限公司,91340111MA8NAPWT6Q,,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00115,天猫,taobao,天猫邻医快大药房旗舰店,邻医快大药房旗舰店,安徽邻医快药大药房有限公司,91340111MA8NAPWT6Q,,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
W00116,药师帮,yaoshibang,药师帮康佑通达医药,康佑通达医药,安徽麟毅德医药有限公司,91340400MAEAL59M7X,,商业一大区,张智一,,安徽,淮南,关闭,,,,,observation_only
W00117,京东,jd,京东妙仁堂大药房旗舰店,妙仁堂大药房旗舰店,安徽妙仁堂大药房连锁有限公司,91341200394046369R,802405133,KA三大区,孙英昌,,安徽,阜阳,关闭,,,,,observation_only
W00118,京东,jd,京东皖阜妙仁堂大药房旗舰店,皖阜妙仁堂大药房旗舰店,安徽妙仁堂大药房连锁有限公司,91341200394046369R,802405133,KA三大区,孙英昌,,安徽,阜阳,正常,,,,,observation_only
W00119,天猫,taobao,天猫皖阜妙仁堂大药房旗舰店,皖阜妙仁堂大药房旗舰店,安徽妙仁堂大药房连锁有限公司,91341200394046369R,802405133,KA三大区,孙英昌,,安徽,阜阳,正常,,,,,observation_only
W00120,京东,jd,京东源耀惠大药房旗舰店,源耀惠大药房旗舰店,安徽泊心堂大药房有限公司,91341222MA8QPE587Y,,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00121,药师帮,yaoshibang,药师帮安徽浦众医药,安徽浦众医药,安徽浦众医药有限公司,91340121MA8Q2K9LXP,,商业一大区,张智一,,安徽,合肥,关闭,,,,,observation_only
W00122,药师帮,yaoshibang,药师帮安徽千千医药,安徽千千医药,安徽千千医药有限公司,91341200MA8QT7176W,,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00123,京东,jd,京东徽百年大药房官方旗舰店,徽百年大药房官方旗舰店,安徽芊百年医药科技有限公司,91340500092488428L,802403001,KA三大区,孙英昌,,安徽,马鞍山,正常,,,,,observation_only
W00124,美团,meituan,美团百年大药房旗舰店,百年大药房旗舰店,安徽芊百年医药科技有限公司,91340500092488428L,802403001,KA三大区,孙英昌,,安徽,马鞍山,正常,,,,,observation_only
W00125,拼多多,pinduoduo,拼多多盛世百年大药房官方旗舰店,盛世百年大药房官方旗舰店,安徽芊百年医药科技有限公司,91340500092488428L,802403001,KA三大区,孙英昌,,安徽,马鞍山,正常,,,,,observation_only
W00126,天猫,taobao,天猫芊百年大药房旗舰店,芊百年大药房旗舰店,安徽芊百年医药科技有限公司,91340500092488428L,802403001,KA三大区,孙英昌,,安徽,马鞍山,正常,,,,,observation_only
W00127,药师帮,yaoshibang,药师帮药易迈,药易迈,安徽勤迈医药有限公司,91341203MA2RHGD8XD,,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00128,药师帮,yaoshibang,药师帮药小萌,药小萌,安徽全方药业有限公司,91340207MA2TWBR97F,802405169,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00129,拼多多,pinduoduo,拼多多犀薬库大药房旗舰店,犀薬库大药房旗舰店,安徽瑞益堂大药房有限公司,91341200MA8QACYQ1U,,商业一大区,张智一,,安徽,阜阳,关闭,,,,,observation_only
W00130,天猫,taobao,天猫瑞益堂医药专营店,瑞益堂医药专营店,安徽瑞益堂大药房有限公司,91341200MA8QACYQ1U,,商业一大区,张智一,,安徽,阜阳,正常,,,,,observation_only
W00131,美团,meituan,美团百十信大药房旗舰店,百十信大药房旗舰店,安徽省百十信药业有限公司,91340824595722431H,802405025,KA三大区,孙英昌,,安徽,安庆,正常,,,,,observation_only
W00132,天猫,taobao,天猫百十信大药房旗舰店,百十信大药房旗舰店,安徽省百十信药业有限公司,91340824595722431H,802405025,KA三大区,孙英昌,,安徽,安庆,正常,,,,,observation_only
W00133,药师帮,yaoshibang,药师帮药周到,药周到,安徽省恒济医药有限公司,91340323791895583N,,商业一大区,张智一,,安徽,蚌埠,关闭,,,,,observation_only
W00134,药师帮,yaoshibang,药师帮协德医药,协德医药,安徽省宏玉协德医药有限公司,91340122MA2R9BGB67,802405267,KA三大区,孙英昌,,安徽,合肥,正常,,,,,observation_only
W00135,药师帮,yaoshibang,药师帮药今通,药今通,安徽省华嘉医药有限公司,913401007529707045,,商业一大区,张智一,,安徽,合肥,正常,,,,,observation_only
