store_id,platform,platform_code,shop_name,shop_status,responsible_unit,responsible_person,contact,province,city,involved_products,fixed_tier
W00031,美团,meituan,安徽丰原大药房旗舰店,正常,KA三大区,孙英昌,,安徽,蚌埠,,observation_only
W00032,拼多多,pinduoduo,丰原大药房旗舰店,正常,KA三大区,孙英昌,,安徽,蚌埠,,observation_only
W00033,拼多多,pinduoduo,丰原药业大药房官方旗舰店,正常,KA三大区,孙英昌,王晓伶,安徽,蚌埠,,observation_only
W00034,拼多多,pinduoduo,丰原药业大药房旗舰店,正常,KA三大区,孙英昌,,安徽,蚌埠,,observation_only
W00035,拼多多,pinduoduo,友护大药房旗舰店,正常,KA三大区,孙英昌,王晓伶,安徽,蚌埠,,observation_only
W00036,天猫,taobao,丰原大药房旗舰店,正常,KA三大区,孙英昌,,安徽,蚌埠,,observation_only
W00037,天猫,taobao,福康元医药专营店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00038,天猫,taobao,阜胜堂医药专营店,正常,商业一大区,张智一,,安徽,阜阳,托妥,responsibility_core
W00039,药师帮,yaoshibang,医缘购,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00040,拼多多,pinduoduo,安徽广济大药房旗舰店,关闭,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00041,京东,jd,福源仟泽大药房旗舰店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00042,美团,meituan,福源仟泽大药房旗舰店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00043,天猫,taobao,福源仟泽大药房旗舰店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00044,京东,jd,国春堂大药房旗舰店,正常,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00045,美团,meituan,国春堂大药房旗舰店,正常,KA三大区,孙英昌,,安徽,亳州,,observation_only
W00046,拼多多,pinduoduo,国春堂大药房官方旗舰店,正常,KA三大区,孙英昌,祝金萍,安徽,亳州,,observation_only
W00047,拼多多,pinduoduo,国春堂大药房旗舰店,正常,KA三大区,孙英昌,,安徽,亳州,,observation_only
W00048,拼多多,pinduoduo,国惠大药房旗舰店,正常,KA三大区,孙英昌,,安徽,芜湖,,observation_only
W00049,药师帮,yaoshibang,健康达,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00050,京东,jd,国胜大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00051,美团,meituan,安徽国胜大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00052,拼多多,pinduoduo,国胜大药房旗舰店,正常,KA三大区,孙英昌,朱莉,安徽,合肥,,observation_only
W00053,拼多多,pinduoduo,国胜药业大药房旗舰店,正常,KA三大区,孙英昌,朱莉,安徽,合肥,,observation_only
W00054,天猫,taobao,国胜大药房旗舰店,正常,KA三大区,孙英昌,朱莉,安徽,合肥,,observation_only
W00055,药师帮,yaoshibang,顺安购,关闭,商业一大区,张智一,,安徽,阜阳,,observation_only
W00056,药师帮,yaoshibang,万药仓,关闭,商业一大区,张智一,,安徽,阜阳,,observation_only
W00057,拼多多,pinduoduo,好心人大药房官方旗舰店,正常,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00058,天猫,taobao,邦灿好心人大药房旗舰店,正常,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00059,拼多多,pinduoduo,好药师芙蓉路医药健康大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00060,京东,jd,昊霖医药大药房旗舰店,正常,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00061,京东,jd,昊霖医药专营店,正常,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00062,拼多多,pinduoduo,昊霖大药房旗舰店,正常,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00063,天猫,taobao,昊霖大药房旗舰店,正常,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00064,天猫,taobao,和润大药房旗舰店,正常,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00065,京东,jd,华康大药房旗舰店,正常,KA三大区,孙英昌,,安徽,宿州,,observation_only
W00066,拼多多,pinduoduo,华康盛大药房旗舰店,正常,KA三大区,孙英昌,,安徽,宿州,,observation_only
W00067,拼多多,pinduoduo,华康聿欣大药房旗舰店,正常,KA三大区,孙英昌,,安徽,宿州,,observation_only
W00068,天猫,taobao,华康大药房旗舰店,正常,KA三大区,孙英昌,,安徽,宿州,,observation_only
W00069,京东,jd,华源大药房旗舰店,正常,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00070,美团,meituan,华源大药房旗舰店,正常,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00071,拼多多,pinduoduo,华源大药房旗舰店,正常,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00072,天猫,taobao,华源大药房旗舰店,关闭,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00073,美团,meituan,千红兴大药房旗舰店,正常,KA三大区,孙英昌,,安徽,淮南,,observation_only
W00074,药师帮,yaoshibang,快奇笑,正常,商业一大区,张智一,,安徽,淮南,,observation_only
W00075,药师帮,yaoshibang,淘药缘旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00076,药师帮,yaoshibang,新佰伴,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00077,药师帮,yaoshibang,全又佳,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00078,药师帮,yaoshibang,药真惠,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00079,药师帮,yaoshibang,全药达,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00080,药师帮,yaoshibang,搜药购,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00081,药师帮,yaoshibang,药速达,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00082,药师帮,yaoshibang,温馨购,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00083,药师帮,yaoshibang,吉祥树旗舰店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00084,药师帮,yaoshibang,轶风堂旗舰店,关闭,商业一大区,张智一,,安徽,阜阳,,observation_only
W00085,药师帮,yaoshibang,药品购,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00086,美团,meituan,济卫大药房旗舰店,正常,商业一大区,张智一,,安徽,池州,,observation_only
W00087,药师帮,yaoshibang,药惠康,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00088,京东,jd,金玛神大药店旗舰店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00089,京东,jd,京皖大药房旗舰店,正常,商业一大区,张智一,,安徽,亳州,,observation_only
W00090,拼多多,pinduoduo,京皖大药房旗舰店,正常,商业一大区,张智一,,安徽,亳州,,observation_only
W00091,天猫,taobao,京皖大药房旗舰店,正常,商业一大区,张智一,,安徽,亳州,,observation_only
W00092,京东,jd,生和大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00093,天猫,taobao,生和大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00094,药师帮,yaoshibang,聚善堂,关闭,商业一大区,张智一,,安徽,阜阳,,observation_only
W00095,京东,jd,康健百年（安徽）大药房旗舰店,正常,商业一大区,张智一,,安徽,亳州,,observation_only
W00096,美团,meituan,康健百年大药房旗舰店,正常,商业一大区,张智一,,安徽,亳州,,observation_only
W00097,拼多多,pinduoduo,康健百年大药房旗舰店,正常,商业一大区,张智一,,安徽,亳州,,observation_only
W00098,京东,jd,康之源大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,托妥,responsibility_core
W00099,美团,meituan,安徽康之源大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,托妥,responsibility_core
W00100,拼多多,pinduoduo,药济森大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,托妥,responsibility_core
W00101,天猫,taobao,药济森大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,托妥,responsibility_core
W00102,药师帮,yaoshibang,药宝宝,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00103,药师帮,yaoshibang,药宝宝旗舰店,关闭,商业一大区,张智一,,安徽,合肥,,observation_only
W00104,京东,jd,立方大药房官方旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00105,拼多多,pinduoduo,立方大药房官方旗舰店,正常,KA三大区,孙英昌,姚帅,安徽,合肥,,observation_only
W00106,拼多多,pinduoduo,立方大药房旗舰店,正常,KA三大区,孙英昌,姚帅,安徽,合肥,,observation_only
W00107,天猫,taobao,立方大药房旗舰店,正常,KA三大区,孙英昌,姚帅,安徽,合肥,,observation_only
W00108,美团,meituan,立方大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00109,药师帮,yaoshibang,乐药云,关闭,商业一大区,张智一,,安徽,六安,,observation_only
W00110,京东,jd,邻医快药大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00111,美团,meituan,邻医快药大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00112,拼多多,pinduoduo,好又购大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00113,拼多多,pinduoduo,邻医快大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00114,拼多多,pinduoduo,邻医快药大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00115,天猫,taobao,邻医快大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00116,药师帮,yaoshibang,康佑通达医药,关闭,商业一大区,张智一,,安徽,淮南,,observation_only
W00117,京东,jd,妙仁堂大药房旗舰店,关闭,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00118,京东,jd,皖阜妙仁堂大药房旗舰店,正常,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00119,天猫,taobao,皖阜妙仁堂大药房旗舰店,正常,KA三大区,孙英昌,,安徽,阜阳,,observation_only
W00120,京东,jd,源耀惠大药房旗舰店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00121,药师帮,yaoshibang,安徽浦众医药,关闭,商业一大区,张智一,,安徽,合肥,,observation_only
W00122,药师帮,yaoshibang,安徽千千医药,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00123,京东,jd,徽百年大药房官方旗舰店,正常,KA三大区,孙英昌,,安徽,马鞍山,,observation_only
W00124,美团,meituan,百年大药房旗舰店,正常,KA三大区,孙英昌,,安徽,马鞍山,,observation_only
W00125,拼多多,pinduoduo,盛世百年大药房官方旗舰店,正常,KA三大区,孙英昌,,安徽,马鞍山,,observation_only
W00126,天猫,taobao,芊百年大药房旗舰店,正常,KA三大区,孙英昌,,安徽,马鞍山,,observation_only
W00127,药师帮,yaoshibang,药易迈,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00128,药师帮,yaoshibang,药小萌,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00129,拼多多,pinduoduo,犀薬库大药房旗舰店,关闭,商业一大区,张智一,,安徽,阜阳,,observation_only
W00130,天猫,taobao,瑞益堂医药专营店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00131,美团,meituan,百十信大药房旗舰店,正常,KA三大区,孙英昌,,安徽,安庆,,observation_only
W00132,天猫,taobao,百十信大药房旗舰店,正常,KA三大区,孙英昌,,安徽,安庆,,observation_only
W00133,药师帮,yaoshibang,药周到,关闭,商业一大区,张智一,,安徽,蚌埠,,observation_only
W00134,药师帮,yaoshibang,协德医药,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00135,药师帮,yaoshibang,药今通,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00136,京东,jd,健康百姓大药房旗舰店,正常,KA三大区,孙英昌,,安徽,亳州,,observation_only
W00137,京东,jd,省立（安徽）大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00138,京东,jd,省立大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00139,天猫,taobao,安徽省立大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00140,美团,meituan,邻加医大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00141,药师帮,yaoshibang,龙飞翔,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00142,药师帮,yaoshibang,圣音医药,正常,商业一大区,张智一,,安徽,池州,,observation_only
W00143,京东,jd,天健健康大药房官方旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00144,天猫,taobao,天健国药堂大药房旗舰店,正常,KA三大区,孙英昌,,安徽,合肥,,observation_only
W00145,药师帮,yaoshibang,天健国药,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00146,京东,jd,伟翰堂大药房旗舰店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00147,拼多多,pinduoduo,伟翰堂大药房旗舰店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00148,拼多多,pinduoduo,伟翰堂医药大药房旗舰店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00149,药师帮,yaoshibang,阿莫,关闭,商业一大区,张智一,,安徽,宿州,,observation_only
W00150,京东,jd,新天阳光大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00151,药师帮,yaoshibang,采药云,关闭,商业一大区,张智一,,安徽,合肥,,observation_only
W00152,京东,jd,四方百信大药房旗舰店,正常,KA三大区,孙英昌,,安徽,六安,,observation_only
W00153,拼多多,pinduoduo,四方百信大药房旗舰店,正常,KA三大区,孙英昌,,安徽,六安,,observation_only
W00154,天猫,taobao,国泰瑞福堂大药房旗舰店,正常,KA三大区,孙英昌,,安徽,六安,,observation_only
W00155,天猫,taobao,四方百信大药房旗舰店,正常,KA三大区,孙英昌,,安徽,六安,,observation_only
W00156,拼多多,pinduoduo,泰和堂大药房旗舰店,正常,商业一大区,张智一,,安徽,亳州,,observation_only
W00157,拼多多,pinduoduo,翌生美大药房旗舰店,正常,商业一大区,张智一,,安徽,亳州,,observation_only
W00158,天猫,taobao,泰和堂大药房旗舰店,正常,商业一大区,张智一,,安徽,亳州,,observation_only
W00159,药师帮,yaoshibang,千金方,关闭,商业一大区,张智一,,安徽,阜阳,,observation_only
W00160,药师帮,yaoshibang,药益通,关闭,商业一大区,张智一,,安徽,合肥,,observation_only
W00161,京东,jd,佑朴大药房旗舰店,正常,KA三大区,孙英昌,,安徽,滁州,,observation_only
W00162,天猫,taobao,为百邻医药专营店,正常,商业一大区,张智一,,安徽,合肥,天舒平、优立维,responsibility_core
W00163,天猫,taobao,时珍堂大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00164,药师帮,yaoshibang,安徽骁柔医药,关闭,商业一大区,张智一,,安徽,合肥,,observation_only
W00165,京东,jd,温诊堂大药房官方旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00166,天猫,taobao,政通大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00167,京东,jd,杏邻大药房官方旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00168,天猫,taobao,药好达医药专营店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00169,天猫,taobao,健之都大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,依伦平、葛泰、托妥,responsibility_core
W00170,药师帮,yaoshibang,怡药采,关闭,商业一大区,张智一,,安徽,合肥,,observation_only
W00171,药师帮,yaoshibang,安徽永盛康医药,关闭,商业一大区,张智一,,安徽,淮南,,observation_only
W00172,京东,jd,徽梵大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00173,天猫,taobao,徽梵大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00174,京东,jd,新安大夫大药房旗舰店,关闭,KA三大区,孙英昌,,安徽,淮南,,observation_only
W00175,药师帮,yaoshibang,韵到家,正常,商业一大区,张智一,,安徽,淮南,,observation_only
W00176,京东,jd,韵天大药房旗舰店,正常,KA三大区,孙英昌,,安徽,淮南,,observation_only
W00177,拼多多,pinduoduo,贝禧欢大药房旗舰店,关闭,KA三大区,孙英昌,,安徽,淮南,,observation_only
W00178,拼多多,pinduoduo,铭鑫医药大药房官方旗舰店,关闭,KA三大区,孙英昌,,安徽,淮南,,observation_only
W00179,拼多多,pinduoduo,铭鑫医药大药房旗舰店,关闭,KA三大区,孙英昌,,安徽,淮南,,observation_only
W00180,拼多多,pinduoduo,韵到家大药房旗舰店,正常,KA三大区,孙英昌,,安徽,淮南,,observation_only
W00181,天猫,taobao,韵天大药房旗舰店,正常,KA三大区,孙英昌,,安徽,淮南,,observation_only
W00182,药师帮,yaoshibang,一药堂,正常,商业一大区,张智一,,安徽,宿州,,observation_only
W00183,拼多多,pinduoduo,知元乾大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00184,天猫,taobao,知元乾大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00185,天猫,taobao,智药仁大药房旗舰店,正常,商业一大区,张智一,,安徽,合肥,,observation_only
W00186,天猫,taobao,中太医药专营店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00187,京东,jd,朴永堂大药房旗舰店,正常,商业一大区,张智一,,安徽,阜阳,,observation_only
W00188,药师帮,yaoshibang,药小胖旗舰店,正常,KA三大区,孙英昌,,安徽,亳州,,observation_only
W00189,京东,jd,寿川堂大药房旗舰店,关闭,商业一大区,张智一,,陕西,安康,,observation_only
W00190,美团,meituan,朋成大药房旗舰店,正常,KA二大区,韩熙,,陕西,安康,,observation_only
W00191,天猫,taobao,朋成大药房旗舰店,正常,KA二大区,韩熙,,陕西,安康,,observation_only
W00192,美团,meituan,天恒医药大药房旗舰店,正常,商业一大区,张智一,,陕西,安康,,observation_only
W00193,美团,meituan,天恒大药房旗舰店,正常,商业一大区,张智一,,陕西,安康,,observation_only
W00194,美团,meituan,安平百信大药房旗舰店,正常,KA三大区,孙英昌,,河北,衡水,,observation_only
W00195,天猫,taobao,葵灵中药大药房旗舰店,正常,KA三大区,孙英昌,,安徽,安庆,,observation_only
W00196,拼多多,pinduoduo,安阳民康大药房旗舰店,正常,KA三大区,孙英昌,,河南,安阳,,observation_only
W00197,天猫,taobao,相州民康大药房旗舰店,正常,KA三大区,孙英昌,,河南,安阳,,observation_only
W00198,药师帮,yaoshibang,药旺旺,正常,商业二大区,孙成,,河南,安阳,,observation_only
W00199,天猫,taobao,鹿护堂大药房旗舰店,正常,KA三大区,孙英昌,,河南,安阳,托妥,responsibility_core
W00200,拼多多,pinduoduo,仙鹤大药房旗舰店,正常,KA三大区,孙英昌,,河南,安阳,,observation_only
W00201,京东,jd,济盈大药房旗舰店,关闭,商业二大区,孙成,,辽宁,鞍山,,observation_only
W00202,天猫,taobao,济盈医药专营店,关闭,商业二大区,孙成,,辽宁,鞍山,,observation_only
W00203,药师帮,yaoshibang,鸿昇元,正常,商业二大区,孙成,,辽宁,鞍山,,observation_only
W00204,药师帮,yaoshibang,好药采旗舰店,正常,KA三大区,孙英昌,,河北,廊坊,,observation_only
W00205,药师帮,yaoshibang,白城市天资药业,正常,商业二大区,孙成,,吉林,白城,,observation_only
W00206,京东,jd,泰合源大药房旗舰店,关闭,商业二大区,孙成,,吉林,白城,,observation_only
W00207,天猫,taobao,汇恩堂大药房旗舰店,关闭,商业二大区,孙成,,吉林,白山,,observation_only
W00208,天猫,taobao,广济医药专营店,正常,商业二大区,孙成,,吉林,白山,,observation_only
W00209,天猫,taobao,百惠祥大药房旗舰店,正常,商业二大区,孙成,,山东,济南,,observation_only
W00210,天猫,taobao,百睦健康医药专营店,正常,商业一大区,张智一,,广东,深圳,托妥、葛泰,responsibility_core
W00211,天猫,taobao,沁园春大药房旗舰店,正常,商业一大区,张智一,,福建,莆田,,observation_only
W00212,美团,meituan,润诚大药房旗舰店,正常,商业一大区,张智一,,安徽,蚌埠,,observation_only
W00213,药师帮,yaoshibang,速派达,正常,商业一大区,张智一,,安徽,蚌埠,,observation_only
W00214,京东,jd,沧瀚大药房旗舰店,关闭,商业一大区,张智一,,安徽,蚌埠,,observation_only
W00215,美团,meituan,远丰大药房旗舰店,正常,商业一大区,张智一,,安徽,蚌埠,,observation_only
W00216,药师帮,yaoshibang,包头九合,正常,商业二大区,孙成,,内蒙古,包头,,observation_only
W00217,天猫,taobao,神之隆医药专营店,关闭,商业二大区,孙成,,内蒙古,包头,,observation_only
W00218,药师帮,yaoshibang,统一医药,正常,商业二大区,孙成,,内蒙古,包头,,observation_only
W00219,药师帮,yaoshibang,包头祥羽,正常,商业二大区,孙成,,内蒙古,包头,,observation_only
W00220,京东,jd,畅曙大药房旗舰店,关闭,商业二大区,孙成,,河南,平顶山,,observation_only
W00221,京东,jd,珍景康大药房旗舰店,正常,KA三大区,孙英昌,,河南,平顶山,,observation_only
W00222,天猫,taobao,珍景康大药房旗舰店,正常,KA三大区,孙英昌,,河南,平顶山,,observation_only
W00223,京东,jd,慧容客医药旗舰店,正常,KA二大区,韩熙,,陕西,宝鸡,,observation_only
W00224,京东,jd,慧容客中西药品旗舰店,正常,KA二大区,韩熙,,陕西,宝鸡,,observation_only
W00225,京东,jd,溪效堂大药房旗舰店,正常,KA二大区,韩熙,,陕西,宝鸡,,observation_only
W00226,拼多多,pinduoduo,百年康大药房旗舰店,正常,KA二大区,韩熙,,陕西,宝鸡,,observation_only
W00227,拼多多,pinduoduo,溪效堂大药房旗舰店,关闭,KA二大区,韩熙,,陕西,宝鸡,,observation_only
W00228,天猫,taobao,百年康医药专营店,正常,KA二大区,韩熙,,陕西,宝鸡,,observation_only
W00229,京东,jd,西岐百信佳大药房旗舰店,正常,商业一大区,张智一,,陕西,宝鸡,,observation_only
W00230,京东,jd,百姓康医大药房官方旗舰店,正常,商业一大区,张智一,,陕西,宝鸡,,observation_only
W00231,京东,jd,美信大药房旗舰店,关闭,KA二大区,韩熙,,陕西,宝鸡,,observation_only
W00232,天猫,taobao,国仁药品专营店,正常,商业一大区,张智一,,陕西,宝鸡,,observation_only
W00233,京东,jd,药健云大药房旗舰店,关闭,KA二大区,韩熙,,陕西,宝鸡,,observation_only
W00234,拼多多,pinduoduo,药健云大药房官方旗舰店,关闭,KA二大区,韩熙,,陕西,宝鸡,,observation_only
W00235,天猫,taobao,万羽堂医药专营店,正常,商业一大区,张智一,,陕西,宝鸡,,observation_only
W00236,京东,jd,协康大药房旗舰店,正常,商业一大区,张智一,,陕西,宝鸡,,observation_only
W00237,天猫,taobao,协康大药房旗舰店,正常,商业一大区,张智一,,陕西,宝鸡,,observation_only
W00238,美团,meituan,医士达大药房旗舰店,正常,商业一大区,张智一,,陕西,宝鸡,,observation_only
W00239,天猫,taobao,矽客大药房旗舰店,正常,商业一大区,张智一,,陕西,宝鸡,,observation_only
W00240,京东,jd,迪莱纯大药房官方旗舰店,正常,商业一大区,张智一,,江苏,扬州,,observation_only
W00241,拼多多,pinduoduo,迪莱纯大药房旗舰店,正常,商业一大区,张智一,,江苏,扬州,,observation_only
W00242,京东,jd,百医堂大药房旗舰店,关闭,KA三大区,孙英昌,,河北,保定,,observation_only
W00243,拼多多,pinduoduo,九凤堂大药房旗舰店,正常,KA三大区,孙英昌,,河北,保定,,observation_only
W00244,拼多多,pinduoduo,豪诺大药房旗舰店,正常,KA三大区,孙英昌,,河北,保定,,observation_only
W00245,药师帮,yaoshibang,药为媒,正常,商业二大区,孙成,,河北,保定,,observation_only
W00246,药师帮,yaoshibang,药康汇,正常,商业二大区,孙成,张乐,河北,保定,,observation_only
W00247,药师帮,yaoshibang,药专业,正常,商业二大区,孙成,徐元龙,河北,保定,,observation_only
W00248,药师帮,yaoshibang,盛仁堂,正常,商业二大区,孙成,,河北,保定,,observation_only
W00249,京东,jd,保定市健佰大药房,关闭,商业二大区,孙成,,河北,保定,,observation_only
W00250,京东,jd,蒲公英大药房旗舰店,正常,商业二大区,孙成,,河北,保定,,observation_only
W00251,天猫,taobao,濡尧大药房旗舰店,正常,商业二大区,孙成,,河北,保定,,observation_only
W00252,京东,jd,利佰大药房官方旗舰店,正常,KA三大区,孙英昌,,河北,保定,,observation_only
W00253,京东,jd,利佰大药房旗舰店,正常,KA三大区,孙英昌,,河北,保定,,observation_only
W00254,拼多多,pinduoduo,康乃信大药房旗舰店,正常,KA三大区,孙英昌,,河北,保定,,observation_only
W00255,药师帮,yaoshibang,药倍健,正常,商业二大区,孙成,张乐,河北,保定,,observation_only
